Order_id,customer,order_date,delivery_date,item_type,quantity
1,Customer_1,12/23/2024,12/30/2024,Food,54
2,Customer_47,4/1/2024,4/12/2024,Books,95
3,Customer_5,5/3/2024,5/9/2024,Food,90
4,Customer_40,10/5/2024,10/14/2024,Books,90
5,Customer_38,6/12/2024,6/22/2024,Furniture,93
6,Customer_12,10/6/2024,10/17/2024,Books,30
7,Customer_40,12/26/2024,1/3/2025,Books,80
8,Customer_48,4/26/2024,5/6/2024,Books,21
9,Customer_36,2/2/2024,2/7/2024,Food,90
10,Customer_32,10/30/2024,11/3/2024,Food,48
11,Customer_12,1/7/2024,1/11/2024,Furniture,47
12,Customer_46,2/4/2024,2/13/2024,Books,49
13,Customer_11,4/23/2024,5/7/2024,Electronics,18
14,Customer_38,5/6/2024,5/7/2024,Electronics,16
15,Customer_44,2/9/2024,2/13/2024,Electronics,99
16,Customer_48,3/2/2024,3/9/2024,Clothing,25
17,Customer_14,1/24/2024,1/28/2024,Books,20
18,Customer_12,2/17/2024,2/28/2024,Food,82
19,Customer_39,3/15/2024,3/20/2024,Furniture,17
20,Customer_21,1/7/2024,1/10/2024,Food,83
21,Customer_37,9/28/2024,10/9/2024,Food,27
22,Customer_17,8/21/2024,8/26/2024,Furniture,74
23,Customer_2,7/1/2024,7/6/2024,Electronics,63
24,Customer_15,3/21/2024,3/24/2024,Furniture,7
25,Customer_41,9/25/2024,10/3/2024,Food,40
26,Customer_28,3/20/2024,3/21/2024,Food,51
27,Customer_13,6/27/2024,7/6/2024,Electronics,35
28,Customer_5,2/1/2024,2/13/2024,Books,54
29,Customer_3,8/7/2024,8/13/2024,Clothing,66
30,Customer_30,3/4/2024,3/16/2024,Furniture,20
31,Customer_1,3/31/2024,4/14/2024,Electronics,89
32,Customer_6,3/2/2024,3/16/2024,Furniture,58
33,Customer_34,2/15/2024,2/26/2024,Books,69
34,Customer_11,7/26/2024,8/5/2024,Electronics,24
35,Customer_26,11/28/2024,12/1/2024,Books,96
36,Customer_37,9/15/2024,9/28/2024,Clothing,16
37,Customer_16,9/13/2024,9/25/2024,Electronics,2
38,Customer_40,7/15/2024,7/26/2024,Clothing,15
39,Customer_3,7/20/2024,7/28/2024,Furniture,66
40,Customer_14,7/2/2024,7/7/2024,Clothing,73
41,Customer_27,11/19/2024,12/2/2024,Food,37
42,Customer_37,10/31/2024,11/9/2024,Clothing,8
43,Customer_47,5/28/2024,6/11/2024,Food,77
44,Customer_17,3/15/2024,3/19/2024,Electronics,65
45,Customer_21,2/7/2024,2/9/2024,Food,48
46,Customer_15,10/20/2024,10/30/2024,Clothing,58
47,Customer_39,6/29/2024,7/13/2024,Books,6
48,Customer_2,11/6/2024,11/20/2024,Clothing,45
49,Customer_27,9/5/2024,9/6/2024,Books,79
50,Customer_3,5/25/2024,6/2/2024,Electronics,52
51,Customer_11,3/28/2024,3/31/2024,Electronics,88
52,Customer_23,1/22/2024,1/27/2024,Food,41
53,Customer_9,8/20/2024,8/27/2024,Furniture,76
54,Customer_4,11/28/2024,12/8/2024,Furniture,94
55,Customer_4,3/5/2024,3/13/2024,Electronics,71
56,Customer_45,3/22/2024,3/23/2024,Books,90
57,Customer_20,3/17/2024,3/21/2024,Clothing,87
58,Customer_22,3/12/2024,3/20/2024,Electronics,46
59,Customer_37,11/11/2024,11/13/2024,Books,98
60,Customer_16,8/24/2024,8/28/2024,Clothing,83
61,Customer_3,2/19/2024,2/25/2024,Clothing,19
62,Customer_45,1/8/2024,1/12/2024,Furniture,91
63,Customer_41,8/27/2024,9/2/2024,Furniture,68
64,Customer_15,8/16/2024,8/29/2024,Books,65
65,Customer_46,1/7/2024,1/8/2024,Electronics,57
66,Customer_42,6/14/2024,6/27/2024,Food,16
67,Customer_18,8/22/2024,9/2/2024,Electronics,75
68,Customer_1,1/17/2024,1/26/2024,Books,29
69,Customer_33,2/6/2024,2/10/2024,Clothing,61
70,Customer_21,8/27/2024,9/5/2024,Food,58
71,Customer_50,4/5/2024,4/13/2024,Electronics,54
72,Customer_26,4/9/2024,4/18/2024,Furniture,20
73,Customer_36,11/28/2024,12/2/2024,Food,11
74,Customer_37,12/27/2024,12/28/2024,Clothing,84
75,Customer_15,3/13/2024,3/20/2024,Clothing,51
76,Customer_43,7/31/2024,8/4/2024,Food,52
77,Customer_4,5/22/2024,6/1/2024,Food,61
78,Customer_8,4/1/2024,4/14/2024,Electronics,17
79,Customer_28,7/27/2024,7/29/2024,Electronics,19
80,Customer_35,7/3/2024,7/9/2024,Electronics,69
81,Customer_20,3/3/2024,3/13/2024,Clothing,95
82,Customer_1,9/12/2024,9/23/2024,Books,73
83,Customer_13,7/6/2024,7/7/2024,Clothing,60
84,Customer_27,6/18/2024,6/29/2024,Clothing,14
85,Customer_8,9/14/2024,9/28/2024,Food,88
86,Customer_43,8/9/2024,8/20/2024,Food,23
87,Customer_12,8/21/2024,8/28/2024,Food,38
88,Customer_48,5/27/2024,6/4/2024,Clothing,62
89,Customer_50,5/19/2024,6/2/2024,Books,93
90,Customer_5,9/10/2024,9/20/2024,Books,37
91,Customer_38,1/19/2024,1/28/2024,Electronics,65
92,Customer_3,7/10/2024,7/11/2024,Books,13
93,Customer_5,7/3/2024,7/7/2024,Furniture,77
94,Customer_12,1/17/2024,1/29/2024,Furniture,50
95,Customer_49,9/16/2024,9/19/2024,Clothing,59
96,Customer_10,11/20/2024,12/1/2024,Food,27
97,Customer_35,8/3/2024,8/5/2024,Electronics,80
98,Customer_40,9/20/2024,10/2/2024,Furniture,6
99,Customer_8,6/15/2024,6/27/2024,Clothing,15
100,Customer_20,1/30/2024,2/5/2024,Furniture,77
101,Customer_37,12/9/2024,12/12/2024,Food,50
102,Customer_20,2/15/2024,2/18/2024,Food,15
103,Customer_37,7/15/2024,7/24/2024,Furniture,16
104,Customer_45,4/11/2024,4/16/2024,Books,67
105,Customer_46,5/8/2024,5/14/2024,Clothing,67
106,Customer_42,7/27/2024,8/4/2024,Books,40
107,Customer_36,4/28/2024,5/9/2024,Clothing,28
108,Customer_35,4/8/2024,4/19/2024,Books,50
109,Customer_29,10/17/2024,10/26/2024,Food,65
110,Customer_45,7/26/2024,8/9/2024,Furniture,28
111,Customer_23,2/25/2024,2/26/2024,Electronics,22
112,Customer_20,7/1/2024,7/4/2024,Furniture,53
113,Customer_13,6/1/2024,6/3/2024,Books,7
114,Customer_38,8/28/2024,9/2/2024,Books,10
115,Customer_4,12/1/2024,12/7/2024,Electronics,11
116,Customer_31,8/27/2024,9/3/2024,Food,29
117,Customer_33,7/31/2024,8/10/2024,Furniture,75
118,Customer_39,3/29/2024,4/11/2024,Clothing,26
119,Customer_8,2/29/2024,3/6/2024,Clothing,86
120,Customer_17,7/24/2024,8/1/2024,Furniture,28
121,Customer_33,7/25/2024,7/28/2024,Food,86
122,Customer_40,2/25/2024,2/27/2024,Clothing,40
123,Customer_11,6/30/2024,7/8/2024,Food,46
124,Customer_11,8/30/2024,9/6/2024,Books,37
125,Customer_30,12/12/2024,12/19/2024,Electronics,11
126,Customer_49,11/23/2024,11/28/2024,Clothing,90
127,Customer_26,9/26/2024,10/6/2024,Books,29
128,Customer_48,11/21/2024,11/30/2024,Clothing,58
129,Customer_49,1/24/2024,1/25/2024,Clothing,100
130,Customer_2,3/31/2024,4/12/2024,Food,43
131,Customer_26,12/21/2024,12/31/2024,Food,76
132,Customer_44,6/24/2024,7/4/2024,Furniture,53
133,Customer_40,9/26/2024,9/30/2024,Electronics,46
134,Customer_3,6/25/2024,7/9/2024,Furniture,91
135,Customer_31,12/30/2024,1/6/2025,Electronics,62
136,Customer_40,5/20/2024,5/25/2024,Books,3
137,Customer_48,12/11/2024,12/23/2024,Clothing,5
138,Customer_47,5/19/2024,5/22/2024,Books,38
139,Customer_34,5/27/2024,6/5/2024,Food,95
140,Customer_42,5/21/2024,5/26/2024,Electronics,48
141,Customer_6,5/25/2024,6/1/2024,Books,34
142,Customer_37,10/26/2024,10/29/2024,Furniture,34
143,Customer_4,9/8/2024,9/10/2024,Electronics,76
144,Customer_29,12/16/2024,12/28/2024,Electronics,1
145,Customer_34,7/10/2024,7/20/2024,Food,79
146,Customer_11,6/20/2024,6/28/2024,Food,21
147,Customer_19,11/6/2024,11/11/2024,Books,80
148,Customer_26,2/16/2024,2/20/2024,Furniture,76
149,Customer_12,8/10/2024,8/15/2024,Books,38
150,Customer_30,10/26/2024,11/9/2024,Clothing,32
151,Customer_38,3/3/2024,3/9/2024,Books,76
152,Customer_20,3/3/2024,3/7/2024,Electronics,91
153,Customer_20,1/25/2024,2/7/2024,Books,39
154,Customer_34,2/29/2024,3/7/2024,Electronics,93
155,Customer_12,2/2/2024,2/10/2024,Books,26
156,Customer_38,1/13/2024,1/26/2024,Books,15
157,Customer_21,1/18/2024,1/28/2024,Furniture,30
158,Customer_5,3/30/2024,4/13/2024,Food,68
159,Customer_3,7/14/2024,7/16/2024,Furniture,64
160,Customer_3,6/18/2024,7/2/2024,Books,57
161,Customer_26,4/1/2024,4/6/2024,Clothing,74
162,Customer_31,4/4/2024,4/15/2024,Clothing,87
163,Customer_36,5/18/2024,5/28/2024,Furniture,13
164,Customer_30,9/22/2024,9/23/2024,Electronics,64
165,Customer_4,3/5/2024,3/6/2024,Books,88
166,Customer_38,1/9/2024,1/18/2024,Electronics,42
167,Customer_15,7/5/2024,7/9/2024,Books,96
168,Customer_25,12/24/2024,1/7/2025,Food,1
169,Customer_47,2/29/2024,3/13/2024,Food,47
170,Customer_33,3/13/2024,3/25/2024,Books,25
171,Customer_10,2/25/2024,3/1/2024,Food,78
172,Customer_42,8/17/2024,8/25/2024,Food,26
173,Customer_2,6/29/2024,7/5/2024,Books,79
174,Customer_44,8/15/2024,8/23/2024,Food,77
175,Customer_3,10/14/2024,10/16/2024,Clothing,97
176,Customer_41,2/22/2024,2/29/2024,Clothing,94
177,Customer_15,10/22/2024,11/4/2024,Furniture,36
178,Customer_41,9/27/2024,9/29/2024,Furniture,95
179,Customer_29,8/15/2024,8/21/2024,Food,18
180,Customer_17,4/27/2024,5/4/2024,Electronics,74
181,Customer_2,7/20/2024,7/24/2024,Furniture,11
182,Customer_32,2/18/2024,2/29/2024,Furniture,25
183,Customer_38,9/16/2024,9/18/2024,Electronics,41
184,Customer_31,8/16/2024,8/25/2024,Furniture,77
185,Customer_22,10/21/2024,10/26/2024,Clothing,8
186,Customer_41,12/24/2024,12/27/2024,Books,9
187,Customer_17,3/19/2024,3/23/2024,Furniture,80
188,Customer_17,7/14/2024,7/24/2024,Clothing,4
189,Customer_5,12/3/2024,12/15/2024,Books,31
190,Customer_39,11/25/2024,12/9/2024,Clothing,28
191,Customer_17,11/19/2024,11/22/2024,Electronics,22
192,Customer_15,5/3/2024,5/5/2024,Food,95
193,Customer_39,2/1/2024,2/9/2024,Books,57
194,Customer_20,11/10/2024,11/20/2024,Food,97
195,Customer_50,3/21/2024,3/26/2024,Books,7
196,Customer_9,2/11/2024,2/17/2024,Furniture,8
197,Customer_29,6/5/2024,6/11/2024,Furniture,67
198,Customer_19,11/27/2024,12/1/2024,Food,87
199,Customer_31,3/15/2024,3/26/2024,Books,29
200,Customer_36,8/30/2024,9/5/2024,Furniture,60
201,Customer_40,3/5/2024,3/6/2024,Furniture,63
202,Customer_12,11/26/2024,11/30/2024,Food,94
203,Customer_22,3/11/2024,3/21/2024,Books,46
204,Customer_17,3/31/2024,4/12/2024,Electronics,20
205,Customer_11,11/25/2024,11/30/2024,Electronics,27
206,Customer_38,8/31/2024,9/5/2024,Books,59
207,Customer_12,8/25/2024,8/26/2024,Electronics,97
208,Customer_39,6/23/2024,7/3/2024,Furniture,42
209,Customer_43,9/21/2024,9/24/2024,Electronics,87
210,Customer_25,8/12/2024,8/15/2024,Books,13
211,Customer_16,6/25/2024,6/26/2024,Furniture,7
212,Customer_34,8/18/2024,8/19/2024,Electronics,46
213,Customer_15,6/29/2024,7/3/2024,Furniture,4
214,Customer_22,1/9/2024,1/19/2024,Food,61
215,Customer_42,8/22/2024,8/30/2024,Clothing,77
216,Customer_2,2/18/2024,2/27/2024,Books,30
217,Customer_8,9/8/2024,9/10/2024,Electronics,94
218,Customer_16,11/13/2024,11/17/2024,Clothing,43
219,Customer_38,9/16/2024,9/25/2024,Electronics,69
220,Customer_29,12/7/2024,12/13/2024,Clothing,13
221,Customer_15,10/6/2024,10/16/2024,Food,21
222,Customer_49,7/16/2024,7/25/2024,Clothing,100
223,Customer_3,3/16/2024,3/18/2024,Electronics,45
224,Customer_9,1/30/2024,2/11/2024,Food,44
225,Customer_22,10/2/2024,10/3/2024,Clothing,58
226,Customer_21,9/15/2024,9/25/2024,Books,99
227,Customer_26,10/15/2024,10/18/2024,Food,40
228,Customer_28,8/31/2024,9/10/2024,Electronics,56
229,Customer_9,10/17/2024,10/31/2024,Books,20
230,Customer_3,1/9/2024,1/18/2024,Electronics,76
231,Customer_43,4/19/2024,5/1/2024,Electronics,82
232,Customer_36,9/16/2024,9/18/2024,Books,4
233,Customer_46,2/8/2024,2/20/2024,Food,24
234,Customer_41,2/6/2024,2/20/2024,Food,96
235,Customer_35,2/12/2024,2/13/2024,Furniture,34
236,Customer_41,7/1/2024,7/4/2024,Electronics,93
237,Customer_17,10/6/2024,10/14/2024,Books,83
238,Customer_12,5/12/2024,5/26/2024,Electronics,95
239,Customer_27,5/23/2024,6/1/2024,Books,26
240,Customer_18,4/16/2024,4/17/2024,Books,7
241,Customer_26,11/5/2024,11/13/2024,Food,6
242,Customer_49,8/2/2024,8/8/2024,Food,39
243,Customer_7,6/7/2024,6/12/2024,Books,32
244,Customer_15,9/18/2024,9/23/2024,Books,70
245,Customer_22,4/25/2024,5/1/2024,Electronics,14
246,Customer_46,2/13/2024,2/26/2024,Books,22
247,Customer_39,7/15/2024,7/29/2024,Furniture,26
248,Customer_25,2/2/2024,2/8/2024,Furniture,62
249,Customer_27,10/10/2024,10/13/2024,Furniture,94
250,Customer_45,12/23/2024,1/3/2025,Food,62
251,Customer_1,6/28/2024,7/11/2024,Furniture,46
252,Customer_11,11/29/2024,12/9/2024,Electronics,85
253,Customer_5,1/7/2024,1/17/2024,Furniture,54
254,Customer_12,4/4/2024,4/9/2024,Food,50
