Order_id,customer_name,order_date,delivery_date,item_type,quantity,Order_Status,Shipping_Method,Unit_Price,Region,Discount
1,Customer_1,12/23/2024,12/30/2024,Food,54,Delivered,Standard,17.89,South,0.05
2,Customer_47,4/1/2024,4/12/2024,Books,95,Pending,Pickup,23.67,North,0.05
3,Customer_5,5/3/2024,5/9/2024,Food,90,Shipped,Standard,17.41,South,0.2
4,Customer_40,10/5/2024,10/14/2024,Books,90,Shipped,Standard,26.45,Central,0
5,Customer_38,6/12/2024,6/22/2024,Furniture,93,Delivered,Pickup,247.27,West,0.2
6,Customer_12,10/6/2024,10/17/2024,Books,30,Delivered,Express,22.76,North,0.15
7,Customer_40,12/26/2024,1/3/2025,Books,80,Delivered,Pickup,29.68,South,0.2
8,Customer_48,4/26/2024,5/6/2024,Books,21,Pending,Express,29.49,North,0.1
9,Customer_36,2/2/2024,2/7/2024,Food,90,Delivered,Standard,16.95,South,0
10,Customer_32,10/30/2024,11/3/2024,Food,48,Pending,Same Day,12.55,East,0.2
11,Customer_12,1/7/2024,1/11/2024,Furniture,47,Shipped,Pickup,265.45,East,0
12,Customer_46,2/4/2024,2/13/2024,Books,49,Delivered,Same Day,26.39,West,0
13,Customer_11,4/23/2024,5/7/2024,Electronics,18,Pending,Express,594.22,Central,0.2
14,Customer_38,5/6/2024,5/7/2024,Electronics,16,Shipped,Pickup,410.12,North,0.2
15,Customer_44,2/9/2024,2/13/2024,Electronics,99,Delivered,Same Day,466.7,Central,0.05
16,Customer_48,3/2/2024,3/9/2024,Clothing,25,Delivered,Same Day,47.82,South,0.2
17,Customer_14,1/24/2024,1/28/2024,Books,20,Shipped,Pickup,27.87,West,0.2
18,Customer_12,2/17/2024,2/28/2024,Food,82,Delivered,Same Day,13.23,East,0.05
19,Customer_39,3/15/2024,3/20/2024,Furniture,17,Delivered,Pickup,339.58,East,0.05
20,Customer_21,1/7/2024,1/10/2024,Food,83,Pending,Same Day,15.33,West,0.1
21,Customer_37,9/28/2024,10/9/2024,Food,27,Delivered,Standard,15.52,North,0.2
22,Customer_17,8/21/2024,8/26/2024,Furniture,74,Delivered,Pickup,337.57,Central,0.15
23,Customer_2,7/1/2024,7/6/2024,Electronics,63,Delivered,Standard,446.6,South,0
24,Customer_15,3/21/2024,3/24/2024,Furniture,7,Shipped,Standard,332.92,Central,0.05
25,Customer_41,9/25/2024,10/3/2024,Food,40,Cancelled,Same Day,16.73,East,0.2
26,Customer_28,3/20/2024,3/21/2024,Food,51,Delivered,Express,15.58,West,0.15
27,Customer_13,6/27/2024,7/6/2024,Electronics,35,Pending,Standard,455.45,East,0
28,Customer_5,2/1/2024,2/13/2024,Books,54,Pending,Standard,29.84,East,0.2
29,Customer_3,8/7/2024,8/13/2024,Clothing,66,Delivered,Standard,47.8,South,0.15
30,Customer_30,3/4/2024,3/16/2024,Furniture,20,Delivered,Express,304.83,North,0
31,Customer_1,3/31/2024,4/14/2024,Electronics,89,Delivered,Express,559.7,North,0.15
32,Customer_6,3/2/2024,3/16/2024,Furniture,58,Delivered,Standard,253.19,South,0.05
33,Customer_34,2/15/2024,2/26/2024,Books,69,Delivered,Express,28.66,West,0.2
34,Customer_11,7/26/2024,8/5/2024,Electronics,24,Cancelled,Express,426.36,Central,0.15
35,Customer_26,11/28/2024,12/1/2024,Books,96,Delivered,Express,23.58,West,0.15
36,Customer_37,9/15/2024,9/28/2024,Clothing,16,Delivered,Pickup,44.61,Central,0.2
37,Customer_16,9/13/2024,9/25/2024,Electronics,2,Delivered,Standard,517.77,North,0
38,Customer_40,7/15/2024,7/26/2024,Clothing,15,Delivered,Express,32.25,East,0.2
39,Customer_3,7/20/2024,7/28/2024,Furniture,66,Delivered,Pickup,271.84,East,0.15
40,Customer_14,7/2/2024,7/7/2024,Clothing,73,Delivered,Same Day,34.03,West,0.1
41,Customer_27,11/19/2024,12/2/2024,Food,37,Delivered,Same Day,14.53,South,0
42,Customer_37,10/31/2024,11/9/2024,Clothing,8,Pending,Express,33.82,Central,0.15
43,Customer_47,5/28/2024,6/11/2024,Food,77,Shipped,Standard,12.38,East,0.1
44,Customer_17,3/15/2024,3/19/2024,Electronics,65,Shipped,Express,489.66,West,0
45,Customer_21,2/7/2024,2/9/2024,Food,48,Pending,Same Day,14.17,South,0.05
46,Customer_15,10/20/2024,10/30/2024,Clothing,58,Shipped,Standard,41.5,North,0.2
47,Customer_39,6/29/2024,7/13/2024,Books,6,Shipped,Standard,24.52,South,0
48,Customer_2,11/6/2024,11/20/2024,Clothing,45,Shipped,Same Day,35.54,North,0
49,Customer_27,9/5/2024,9/6/2024,Books,79,Delivered,Pickup,26.15,West,0.15
